Date,target_growth_allocation,high_confidence,growth_momentum_13w_prior,incumbent_momentum_13w_prior,growth_momentum_long_prior,incumbent_momentum_long_prior,selected_count,available_momentum_count,positive_holding_count,positive_holding_share,largest_positive_contribution_share,growth_volatility_13w_prior,growth_volatility_52w_prior,volatility_ratio_13w_to_52w,exceptional_confidence
2023-01-06,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-01-13,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-01-20,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-01-27,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-02-03,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-02-10,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-02-17,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-02-24,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-03-03,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-03-10,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-03-17,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-03-24,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-03-31,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-04-07,0.1,False,-0.020450791981838634,0.13116935707924182,,,5,4,3,0.75,0.4801014559695737,0.3310561113796491,,,False
2023-04-14,0.1,False,-0.029637908740818064,0.08626377146996722,,,5,4,2,0.5,0.5349129631940374,0.3242282062316827,,,False
2023-04-21,0.1,False,-0.02768666669163189,0.07246136907356204,,,5,4,2,0.5,0.7947750729086493,0.32419619885304607,,,False
2023-04-28,0.1,False,-0.11850938856311488,0.06327476571364721,,,5,4,1,0.25,1.0,0.36572092323358524,,,False
2023-05-05,0.1,False,-0.16162996298272425,0.04542921285136714,,,5,4,1,0.25,1.0,0.3541347555642356,,,False
2023-05-12,0.1,False,-0.12180217216186828,0.04795167756086727,,,5,4,2,0.5,0.8566831330654187,0.3678450267633421,,,False
2023-05-19,0.1,False,-0.07532593029951595,0.08090879119902206,,,5,4,2,0.5,0.5521275205564495,0.367620143138036,,,False
2023-05-26,0.1,False,-0.06578209149303627,0.14545005969117009,,,5,4,1,0.25,1.0,0.36878543467784614,,,False
2023-06-02,0.1,False,-0.032540135153100946,0.12894550209036693,,,5,4,1,0.25,1.0,0.38546088897814845,,,False
2023-06-09,0.1,False,0.06460442964990287,0.16221046355751856,,,5,4,2,0.5,0.9351899419479894,0.3166822725097824,,,False
2023-06-16,0.1,False,0.11590868652864006,0.17797330490502783,,,5,4,2,0.5,0.8048507346116638,0.30858710632097874,,,False
2023-06-23,0.1,False,0.013540626314478388,0.12562821477221275,,,5,4,2,0.5,0.9780991225393837,0.34610071289397804,,,False
2023-06-30,0.1,False,-0.004339139612894116,0.11682026740276807,,,5,4,2,0.5,0.9001298581874347,0.3308625661976674,,,False
2023-07-07,0.1,False,0.05087635756708919,0.11446350169835706,0.029385103779851818,0.260646962704411,5,5,3,0.6,0.7043886849553541,0.31849139851224395,,,False
2023-07-14,0.1,False,0.043124549692155956,0.152535989478771,0.012208519483073221,0.2519580906860803,5,5,4,0.8,0.5645629494127699,0.31448845031159,,,False
2023-07-21,0.1,False,0.01697121753551567,0.1551501418907002,-0.011185325599373463,0.23885390265761952,5,5,5,1.0,0.47459493605216824,0.32036014362990867,,,False
2023-07-28,0.1,False,0.12723818071977377,0.15127783837871434,-0.0063501268423248325,0.2241246738734417,5,5,5,1.0,0.355911764389837,0.25550257834068596,,,False
2023-08-04,0.1,False,0.11995526416566604,0.10780921098333174,-0.06106306372373771,0.15813611142779882,5,5,5,1.0,0.3904209399035963,0.25865320328952807,,,False
2023-08-11,0.1,False,0.05571038719494226,0.09433729267801949,-0.0728774311392485,0.14681260167934873,5,5,4,0.8,0.39234652588901014,0.25818991007535486,,,False
2023-08-18,0.1,False,-0.022153901354111438,0.04344005915895033,-0.09581106842436493,0.1278635330341371,5,5,3,0.6,0.4796481523983768,0.28339173357748104,,,False
2023-08-25,0.1,False,-0.02782309183252163,0.03191042338860939,-0.09177492215301164,0.18200185606642272,5,5,2,0.4,0.57937287267339,0.2826135154974903,,,False
2023-09-01,0.1,False,-0.05270092734161813,0.059086916041685145,-0.0835261671963291,0.1956514101880189,5,5,3,0.6,0.5154221190855338,0.2635171982560905,,,False
2023-09-08,0.1,False,-0.06769754345477497,0.04258577945615394,-0.007466674988467759,0.2117041020402135,5,5,1,0.2,1.0,0.2682022238483501,,,False
2023-09-15,0.1,False,-0.08538987923623265,-0.013027534113708272,0.02062137854729662,0.16262721749034004,5,5,1,0.2,1.0,0.26370631694299257,,,False
2023-09-22,0.1,False,-0.05129502526959273,-0.0134718348905557,-0.03844896572408163,0.1104639373146501,5,5,1,0.2,1.0,0.23405593238662317,,,False
2023-09-29,0.1,False,-0.0851164865534717,-0.045500715797656355,-0.08908629384785172,0.06600414581861269,5,5,1,0.2,1.0,0.20355693460594196,,,False
2023-10-06,0.1,False,-0.08727789120064133,-0.019290671603828247,-0.04084191483397748,0.09296475227264223,5,5,2,0.4,0.65665054953251,0.20268012820289244,,,False
2023-10-13,0.1,False,-0.08252117280861127,-0.040931677218430385,-0.04295531153389509,0.10536075837480152,5,5,2,0.4,0.9257585890846632,0.20811550258825862,,,False
2023-10-20,0.1,False,-0.06692838829086512,-0.05884592769069241,-0.05109302699233498,0.08717426016910679,5,5,1,0.2,1.0,0.20370841175555168,,,False
2023-10-27,0.1,False,-0.0924687629993618,-0.09031963707871693,0.023003860542965215,0.047294841839579105,5,5,2,0.4,0.9572440092310043,0.20124505571595475,,,False
2023-11-03,0.1,False,-0.0429750388008856,0.00357287027037434,0.07182514323289024,0.11176726957850125,5,5,2,0.4,0.9683826831409095,0.21095279202660636,,,False
2023-11-10,0.1,False,-0.05395277204536786,0.06840820549338322,-0.0012481146713130276,0.16919894307461059,5,5,2,0.4,0.5718767572975381,0.21650691699515323,,,False
2023-11-17,0.1,False,0.025165106126607606,0.10687500883605261,0.0024536994938009205,0.1549577247014542,5,5,2,0.4,0.6106986815700846,0.18886443392148433,,,False
2023-11-24,0.1,False,0.02043425350622563,0.09524387903375842,-0.007957382438128713,0.13019357492750872,5,5,3,0.6,0.7626719662299376,0.18884865482031246,,,False
2023-12-01,0.1,False,-0.011008890557542395,0.05884824017690704,-0.06312963915777547,0.12141231724512624,5,5,1,0.2,1.0,0.17987301216511892,,,False
2023-12-08,0.1,False,-0.020235946857418474,0.08484000801551805,-0.08656356642046514,0.13103876534207903,5,5,2,0.4,0.8223781696039243,0.18713020335044847,,,False
2023-12-15,0.1,False,0.03447930795305432,0.1331034853929456,-0.05385475522543848,0.11834194108262652,5,5,3,0.6,0.5588866338889642,0.2183191267386604,,,False
2023-12-22,0.1,False,0.07031445490270505,0.1666061486878807,0.015412647892060649,0.15088982327045097,5,5,3,0.6,0.5002814645535307,0.20150866015401098,,,False
2023-12-29,0.1,False,0.04791594167185553,0.1752729718402266,-0.041278981486625566,0.12179721036385782,5,5,2,0.4,0.6096603281816877,0.20071564406565162,,,False
2024-01-05,0.1,False,0.018869807794134053,0.11299425236913319,-0.07005500043814106,0.09152384574973182,5,5,4,0.8,0.6738671907079048,0.20514783601935088,0.2648613317756819,0.7745480800991217,False
2024-01-12,0.1,False,-0.03073906039346519,0.1468345340495143,-0.11072360988737306,0.0998926730788503,5,5,4,0.8,0.4120287270874216,0.18407750500486755,0.2586360986308116,0.711723947195893,False
2024-01-19,0.1,False,0.019399993174335384,0.21604055476820405,-0.048826805392541694,0.14448152021336558,5,5,4,0.8,0.43238415003369646,0.20220117129017148,0.2621103720335698,0.7714352153308704,False
2024-01-26,0.1,False,0.03720797541594134,0.24777233951995759,-0.05870136304384321,0.13507399465765357,5,5,4,0.8,0.34935585378717404,0.19862956256123193,0.26200491521872127,0.7581138788767238,False
2024-02-02,0.1,False,0.021866271854261266,0.17344799210523987,-0.022048470827991995,0.17764056955006313,5,5,4,0.8,0.45294005873092336,0.19183530805968027,0.2601389207478722,0.7374340890942955,False
2024-02-09,0.1,False,0.04757661815211511,0.1555961060518427,-0.008943044327103244,0.23464836194199057,5,5,4,0.8,0.4906592972370999,0.17804303015640185,0.2601175986548285,0.6844712971253508,False
2024-02-16,0.1,False,0.023689456897693084,0.10587427542190109,0.049450710721212765,0.22406459837917958,5,5,4,0.8,0.590496588354053,0.17365692921943404,0.2580984484654796,0.6728321315060539,False
