Date,target_growth_allocation,high_confidence,growth_momentum_13w_prior,incumbent_momentum_13w_prior,growth_momentum_long_prior,incumbent_momentum_long_prior,selected_count,available_momentum_count,positive_holding_count,positive_holding_share,largest_positive_contribution_share,growth_volatility_13w_prior,growth_volatility_52w_prior,volatility_ratio_13w_to_52w,exceptional_confidence
2023-01-06,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-01-13,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-01-20,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-01-27,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-02-03,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-02-10,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-02-17,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-02-24,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-03-03,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-03-10,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-03-17,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-03-24,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-03-31,0.1,False,,,,,5,0,0,0.0,1.0,,,,False
2023-04-07,0.1,False,-0.0059055178557043675,0.13116935707924182,,,5,4,3,0.75,0.4801014559695737,0.27584062041983787,,,False
2023-04-14,0.1,False,-0.015245841096757307,0.08626377146996722,,,5,4,2,0.5,0.5349129631940374,0.2677169566486106,,,False
2023-04-21,0.1,False,-0.013638947236443433,0.07246136907356204,,,5,4,2,0.5,0.7947750729086493,0.267676552493293,,,False
2023-04-28,0.1,False,-0.08825024815395632,0.06327476571364721,,,5,4,1,0.25,1.0,0.30125308607613616,,,False
2023-05-05,0.1,False,-0.12440435706380559,0.04542921285136714,,,5,4,1,0.25,1.0,0.29234087758049315,,,False
2023-05-12,0.1,False,-0.09133122650887049,0.04795167756086727,,,5,4,2,0.5,0.8566831330654187,0.30256004320217694,,,False
2023-05-19,0.1,False,-0.052693365057426056,0.08090879119902206,,,5,4,2,0.5,0.5521275205564495,0.3019441912685611,,,False
2023-05-26,0.1,False,-0.044868976012992334,0.14545005969117009,,,5,4,1,0.25,1.0,0.3027948457959914,,,False
2023-06-02,0.1,False,-0.01765737565658454,0.12894550209036693,,,5,4,1,0.25,1.0,0.3156373038058817,,,False
2023-06-09,0.1,False,0.060821268510677706,0.16221046355751856,,,5,4,2,0.5,0.9351899419479894,0.2596393157999753,,,False
2023-06-16,0.1,False,0.10149171223065512,0.17797330490502783,,,5,4,2,0.5,0.8048507346116638,0.2530442373035586,,,False
2023-06-23,0.1,False,0.01966936073098524,0.12562821477221275,,,5,4,2,0.5,0.9780991225393837,0.283822988322398,,,False
2023-06-30,0.1,False,0.005449347496488066,0.11682026740276807,,,5,4,2,0.5,0.9001298581874347,0.2724401841118175,,,False
2023-07-07,0.1,False,0.05001872976635657,0.11446350169835706,0.043817825408897226,0.260646962704411,5,5,3,0.6,0.7043886849553541,0.2623067649044692,,,False
2023-07-14,0.1,False,0.042235378808195945,0.152535989478771,0.026345623837467524,0.2519580906860803,5,5,4,0.8,0.5645629494127699,0.2573573799108753,,,False
2023-07-21,0.1,False,0.015817552458001094,0.1551501418907002,0.00196287045817356,0.23885390265761952,5,5,5,1.0,0.47459493605216824,0.2643651058120724,,,False
2023-07-28,0.1,False,0.10579311958049975,0.15127783837871434,0.008206602370583793,0.2241246738734417,5,5,5,1.0,0.355911764389837,0.21329895920268874,,,False
2023-08-04,0.1,False,0.09483296772610839,0.10780921098333174,-0.04136902371611617,0.15813611142779882,5,5,5,1.0,0.3904209399035963,0.21838586991169268,,,False
2023-08-11,0.1,False,0.039825676163257606,0.09433729267801949,-0.05514287819614794,0.14681260167934873,5,5,4,0.8,0.39234652588901014,0.22021718062328688,,,False
2023-08-18,0.1,False,-0.033312637551422775,0.04344005915895033,-0.08425064763732615,0.1278635330341371,5,5,3,0.6,0.4796481523983768,0.2487699768769078,,,False
2023-08-25,0.1,False,-0.036942017219566026,0.03191042338860939,-0.08015344274806213,0.18200185606642272,5,5,2,0.4,0.57937287267339,0.2482018352631434,,,False
2023-09-01,0.1,False,-0.05169993892365854,0.059086916041685145,-0.06844442933724548,0.1956514101880189,5,5,3,0.6,0.5154221190855338,0.23690318314093267,,,False
2023-09-08,0.1,False,-0.0693564911528689,0.04258577945615394,-0.012753572413558678,0.2117041020402135,5,5,1,0.2,1.0,0.24251744123210753,,,False
2023-09-15,0.1,False,-0.08382965058268432,-0.013027534113708272,0.009154046874636723,0.16262721749034004,5,5,1,0.2,1.0,0.23893077597268111,,,False
2023-09-22,0.1,False,-0.06329352109564035,-0.0134718348905557,-0.04486910346301953,0.1104639373146501,5,5,1,0.2,1.0,0.22228701963478648,,,False
2023-09-29,0.1,False,-0.08717636365006276,-0.045500715797656355,-0.0822020704525841,0.06600414581861269,5,5,1,0.2,1.0,0.20271887545963901,,,False
2023-10-06,0.1,False,-0.087277891200641,-0.019290671603828247,-0.04162469068882668,0.09296475227264223,5,5,2,0.4,0.65665054953251,0.2026801282028925,,,False
2023-10-13,0.1,False,-0.08252117280861115,-0.040931677218430385,-0.04377110699368347,0.10536075837480152,5,5,2,0.4,0.9257585890846632,0.20811550258825848,,,False
2023-10-20,0.1,False,-0.06692838829086478,-0.05884592769069241,-0.05216947912558367,0.08717426016910679,5,5,1,0.2,1.0,0.20370841175555154,,,False
2023-10-27,0.1,False,-0.09246876299936158,-0.09031963707871693,0.0035417976796856543,0.047294841839579105,5,5,2,0.4,0.9572440092310043,0.20124505571595452,,,False
2023-11-03,0.1,False,-0.04297503880088527,0.00357287027037434,0.04778247845759043,0.11176726957850125,5,5,2,0.4,0.9683826831409095,0.2109527920266061,,,False
2023-11-10,0.1,False,-0.05395277204536775,0.06840820549338322,-0.016275801509698984,0.16919894307461059,5,5,2,0.4,0.5718767572975381,0.21650691699515306,,,False
2023-11-17,0.1,False,0.025165106126607828,0.10687500883605261,-0.008985847484154097,0.1549577247014542,5,5,2,0.4,0.6106986815700846,0.18886443392148425,,,False
2023-11-24,0.1,False,0.02043425350622563,0.09524387903375842,-0.017262646258235925,0.13019357492750872,5,5,3,0.6,0.7626719662299376,0.18884865482031238,,,False
2023-12-01,0.1,False,-0.01100889055754184,0.05884824017690704,-0.06213967051175828,0.12141231724512624,5,5,1,0.2,1.0,0.17987301216511895,,,False
2023-12-08,0.1,False,-0.020235946857418252,0.08484000801551805,-0.08818894374110042,0.13103876534207903,5,5,2,0.4,0.8223781696039243,0.18713020335044833,,,False
2023-12-15,0.1,False,0.03447930795305476,0.1331034853929456,-0.05224073096766668,0.11834194108262652,5,5,3,0.6,0.5588866338889642,0.21831912673866002,,,False
2023-12-22,0.1,False,0.07031445490270616,0.1666061486878807,0.0025704843723528548,0.15088982327045097,5,5,3,0.6,0.5002814645535307,0.2015086601540106,,,False
2023-12-29,0.1,False,0.04791594167185598,0.1752729718402266,-0.043437559534027725,0.12179721036385782,5,5,2,0.4,0.6096603281816877,0.20071564406565118,,,False
2024-01-05,0.1,False,0.018869807794134497,0.11299425236913319,-0.07005500043814028,0.09152384574973182,5,5,4,0.8,0.6738671907079048,0.2051478360193504,0.23354261932427514,0.878417124090321,False
2024-01-12,0.1,False,-0.030739060393464746,0.1468345340495143,-0.11072360988737218,0.0998926730788503,5,5,4,0.8,0.4120287270874216,0.18407750500486725,0.22647631749164962,0.8127892004057085,False
2024-01-19,0.1,False,0.019399993174335828,0.21604055476820405,-0.04882680539254103,0.14448152021336558,5,5,4,0.8,0.43238415003369646,0.20220117129017118,0.23042128591628083,0.8775281783803477,False
2024-01-26,0.1,False,0.03720797541594156,0.24777233951995759,-0.05870136304384288,0.13507399465765357,5,5,4,0.8,0.34935585378717404,0.19862956256123165,0.23034493482478163,0.8623135677471042,False
2024-02-02,0.1,False,0.02186627185426193,0.17344799210523987,-0.022048470827990996,0.17764056955006313,5,5,4,0.8,0.45294005873092336,0.19183530805968005,0.22913146023093958,0.8372281478341339,False
2024-02-09,0.1,False,0.04757661815211578,0.1555961060518427,-0.008943044327102578,0.23464836194199057,5,5,4,0.8,0.4906592972370999,0.1780430301564015,0.22917136296454785,0.7768991197383778,False
2024-02-16,0.1,False,0.023689456897693528,0.10587427542190109,0.04945071072121343,0.22406459837917958,5,5,4,0.8,0.590496588354053,0.17365692921943357,0.2276472530734659,0.7628334050812875,False
