book,threshold,window,weeks,base_cagr,filtered_cagr,base_sharpe,filtered_sharpe,mean_weekly_difference,paired_bootstrap_p,clears_bonferroni
cash_conversion_b20,0.8,full,192,0.11793492402561956,0.1391593765930621,0.5625940627429756,0.6175260690257581,0.00042376506158950557,0.3092,False
cash_conversion_b20,0.8,pre_break,117,0.04113506584545834,0.04113506584545834,0.28497571605274363,0.28497571605274363,0.0,0.0,False
cash_conversion_b20,0.8,post_break,75,0.24920946213901618,0.3108266344390691,0.9622334177811994,1.0534680925541986,0.0010848385576691343,0.2208,False
cash_conversion_b20,0.9,full,192,0.11793492402561956,0.1327644321720991,0.5625940627429756,0.6071445881144648,0.00027713589274349905,0.3704,False
cash_conversion_b20,0.9,pre_break,117,0.04113506584545834,0.04113506584545834,0.28497571605274363,0.28497571605274363,0.0,0.0,False
cash_conversion_b20,0.9,post_break,75,0.24920946213901618,0.2920709169705742,0.9622334177811994,1.053774447227184,0.0007094678854233577,0.2788,False
growth_top_five,0.8,full,192,0.32062818775202717,0.32062818775202717,0.9442498541355531,0.9442498541355531,0.0,0.0,False
growth_top_five,0.8,pre_break,117,-0.028823810780793768,-0.028823810780793768,0.07908824160214076,0.07908824160214076,0.0,0.0,False
growth_top_five,0.8,post_break,75,1.1331103349124816,1.1331103349124816,2.084511923235078,2.084511923235078,0.0,0.0,False
growth_top_five,0.9,full,192,0.32062818775202717,0.32062818775202717,0.9442498541355531,0.9442498541355531,0.0,0.0,False
growth_top_five,0.9,pre_break,117,-0.028823810780793768,-0.028823810780793768,0.07908824160214076,0.07908824160214076,0.0,0.0,False
growth_top_five,0.9,post_break,75,1.1331103349124816,1.1331103349124816,2.084511923235078,2.084511923235078,0.0,0.0,False
sector_ensemble,0.8,full,191,0.20117388845024364,0.211453892518231,0.9294383333775896,0.9444383944854401,0.0001963086881913286,0.7484,False
sector_ensemble,0.8,pre_break,116,0.1783024766752901,0.19548090284911535,0.8497615546849694,0.9127841975019211,0.00028326992018297127,0.962,False
sector_ensemble,0.8,post_break,75,0.23742573948836476,0.23658011391329214,1.0427900814185984,0.9854259671852622,6.180864937758774e-05,0.9732,False
sector_ensemble,0.9,full,191,0.20117388845024364,0.2362394683336324,0.9294383333775896,1.0364927932179597,0.0005807405194579173,0.0136,False
sector_ensemble,0.9,pre_break,116,0.1783024766752901,0.20673513580171266,0.8497615546849694,0.9566542344702439,0.00046180775510436007,0.1316,False
sector_ensemble,0.9,post_break,75,0.23742573948836476,0.28329983531845593,1.0427900814185984,1.1452088484192278,0.0007646898616580857,0.1816,False
