candidate,sharpe_not_materially_worse,ann_return_not_materially_worse,drawdown_not_materially_worse,cvar_not_materially_worse,turnover_under_cap,hidden_beta_not_higher,hidden_cash_check,state_guards_preserved,sequence_signal_active_windows_improved,production_pipeline_clean,causal_signal_inputs_only,delta_ann_return_vs_ggg1,delta_sharpe_vs_ggg1,delta_max_drawdown_vs_ggg1,delta_cvar_5_vs_ggg1,turnover_ratio_vs_production,avg_active_mean_weekly_delta_vs_ggg1,decision,reason
improved_phasesss3_calm_old_low_stress_derisk,True,True,True,True,True,True,True,True,True,True,True,2.5626859417871017e-05,0.0020491940341159642,0.0017308720550271994,4.838764941539342e-05,1.0997151707666513,-4.730940430431852e-06,KEEP_AS_SHADOW,specific sequence weakness improves while GGG1 guardrails are preserved
improved_phasesss3_stress_new_state_defense,True,True,True,True,True,True,True,True,True,True,True,1.3317911321308884e-05,0.00021450235319397937,4.783585749734698e-10,2.2599737352739513e-06,1.09971597833322,7.733062038681503e-06,KEEP_AS_SHADOW,specific sequence weakness improves while GGG1 guardrails are preserved
improved_phasesss3_recovery_sequence_rerisk,True,True,True,True,True,True,True,True,True,True,True,2.2173800927616227e-05,0.00020259975079306436,-1.8096635301390052e-14,-1.9111189197250356e-06,1.0999127367635895,3.025638305522768e-06,KEEP_AS_SHADOW,specific sequence weakness improves while GGG1 guardrails are preserved
improved_phasesss3_combined_sequence_overlay,True,True,True,True,True,True,True,True,True,True,True,4.483976681290969e-05,0.0016901875698035473,0.0011536657276571827,3.241647917186577e-05,1.0998027461140572,1.1048413339133672e-06,KEEP_AS_SHADOW,specific sequence weakness improves while GGG1 guardrails are preserved
