candidate,signal_name,bucket,n_weeks,candidate_ann_return,ggg1_ann_return,ann_return_delta_vs_ggg1,candidate_sharpe,ggg1_sharpe,mean_weekly_delta_vs_ggg1,cvar_5_delta_vs_ggg1,max_drawdown_delta_vs_ggg1
improved_phasesss3_calm_old_low_stress_derisk,calm_old_low_stress_signal,signal_active,50,-0.021257941712279904,-0.02112341627300307,-0.00013452543927683358,-0.1803547716724697,-0.17781077042012813,-4.730940430431852e-06,0.00028853911238706925,0.0007232366617428987
improved_phasesss3_calm_old_low_stress_derisk,calm_old_low_stress_signal,signal_inactive,1060,0.0759880348029125,0.07595410904940558,3.3925753506913736e-05,1.032527761305012,1.0309183480888569,4.897802413248364e-07,2.189240694985481e-05,0.00101436447454184
improved_phasesss3_stress_new_state_defense,stress_new_state_signal,signal_active,49,0.11523138300164115,0.11478481021642772,0.00044657278521342825,1.0902050818846758,1.0860561325280322,7.733062038681503e-06,5.343447587364408e-06,0.00015609123864657182
improved_phasesss3_stress_new_state_defense,stress_new_state_signal,signal_inactive,1061,0.06941194724088318,0.06941782060287593,-5.8733619927586744e-06,0.9296829593986976,0.9297099905990988,-1.1172623356856884e-07,2.343674592876488e-06,-8.301003961863618e-05
improved_phasesss3_recovery_sequence_rerisk,qqq_efa_spy_trend_after_calm_or_recovery_signal,signal_active,44,0.0343428983180154,0.03418798480566587,0.00015491351234953044,0.4650635637983963,0.4636136437504506,3.025638305522768e-06,-3.319751320593131e-05,-6.819318663975338e-05
improved_phasesss3_recovery_sequence_rerisk,qqq_efa_spy_trend_after_calm_or_recovery_signal,signal_inactive,1066,0.0729610727154546,0.07294458339555443,1.648931990017033e-05,0.9552398400466754,0.9550676456694005,3.010310110819933e-07,-1.3759481279351782e-07,-1.8318679906315083e-14
improved_phasesss3_combined_sequence_overlay,calm_old_low_stress_signal,signal_active,50,-0.021233405999660504,-0.02112341627300307,-0.00010998972665743345,-0.17967019000653908,-0.17781077042012813,-3.548949315341823e-06,0.0001923594164111031,0.00045559857018317995
improved_phasesss3_combined_sequence_overlay,calm_old_low_stress_signal,signal_inactive,1060,0.07600696767543358,0.07595410904940558,5.285862602799618e-05,1.032355744910455,1.0309183480888569,8.723394485386072e-07,1.4838709539940348e-05,0.00067617863297742
improved_phasesss3_combined_sequence_overlay,stress_new_state_signal,signal_active,49,0.11516030351314366,0.11478481021642772,0.0003754932967159341,1.0945143184368125,1.0860561325280322,5.5621907441161665e-06,0.00013048471178666796,0.00048809621275014425
improved_phasesss3_combined_sequence_overlay,stress_new_state_signal,signal_inactive,1061,0.06944801185709082,0.06941782060287593,3.019125421488411e-05,0.9309315236172531,0.9297099905990988,4.473939709916497e-07,2.659835882788328e-05,-6.225793890024534e-05
improved_phasesss3_combined_sequence_overlay,qqq_efa_spy_trend_after_calm_or_recovery_signal,signal_active,44,0.0342513633019943,0.03418798480566587,6.337849632842563e-05,0.46392082414621816,0.4636136437504506,1.301282572965758e-06,-3.126491649383528e-05,-0.00010762084976545516
improved_phasesss3_combined_sequence_overlay,qqq_efa_spy_trend_after_calm_or_recovery_signal,signal_inactive,1066,0.07298862807565287,0.07294458339555443,4.404468009844287e-05,0.9568541031945015,0.9550676456694005,6.47256957292063e-07,3.5094009900104445e-05,0.0011536657276570716
