candidate,delta_ann_return_vs_ggg1,delta_sharpe_vs_ggg1,delta_max_drawdown_vs_ggg1,delta_cvar_5_vs_ggg1,delta_avg_BIL_vs_ggg1,delta_avg_SPY_vs_ggg1,delta_spy_beta_vs_ggg1,turnover_ratio_vs_production,sharpe_not_materially_worse,ann_return_not_materially_worse,drawdown_not_materially_worse,cvar_not_materially_worse,turnover_under_cap,hidden_beta_not_higher,hidden_cash_check,state_guards_preserved,sequence_signal_active_windows_improved,production_pipeline_clean,causal_signal_inputs_only,avg_active_mean_weekly_delta_vs_ggg1,avg_active_cvar_delta_vs_ggg1,avg_active_max_drawdown_delta_vs_ggg1,state_guard_ann_return_deltas
improved_phasesss3_calm_old_low_stress_derisk,2.5626859417871017e-05,0.0020491940341159642,0.0017308720550271994,4.838764941539342e-05,0.0002508242959341489,-5.0115275471593335e-05,3.784430578464282e-05,1.0997151707666513,True,True,True,True,True,True,PASS,True,True,True,True,-4.730940430431852e-06,0.00028853911238706925,0.0007232366617428987,stressed_panic:0.0130%;recovery_confirmed:-0.0002%;recovery_fragile:0.0002%;calm_trend:0.0012%
improved_phasesss3_stress_new_state_defense,1.3317911321308884e-05,0.00021450235319397937,4.783585749734698e-10,2.2599737352739513e-06,-2.037761421164186e-05,-1.1448054403888352e-05,6.962247470702898e-06,1.09971597833322,True,True,True,True,True,True,PASS,True,True,True,True,7.733062038681503e-06,5.343447587364408e-06,0.00015609123864657182,stressed_panic:0.0066%;recovery_confirmed:-0.0001%;recovery_fragile:-0.0053%;calm_trend:0.0000%
improved_phasesss3_recovery_sequence_rerisk,2.2173800927616227e-05,0.00020259975079306436,-1.8096635301390052e-14,-1.9111189197250356e-06,-3.491903594976531e-05,4.707224829370027e-07,6.105294925937144e-07,1.0999127367635895,True,True,True,True,True,True,PASS,True,True,True,True,3.025638305522768e-06,-3.319751320593131e-05,-6.819318663975338e-05,stressed_panic:0.0000%;recovery_confirmed:0.0000%;recovery_fragile:0.0000%;calm_trend:0.0034%
improved_phasesss3_combined_sequence_overlay,4.483976681290969e-05,0.0016901875698035473,0.0011536657276571827,3.241647917186577e-05,0.0001226547106683018,-4.159194668547361e-05,3.054030012172165e-05,1.0998027461140572,True,True,True,True,True,True,PASS,True,True,True,True,1.1048413339133672e-06,9.719307056797859e-05,0.00027869131105595635,stressed_panic:0.0137%;recovery_confirmed:-0.0002%;recovery_fragile:-0.0038%;calm_trend:0.0037%
