variant_name,base_signal,OOO3_decision,event_count,event_frequency,best_return_lift_vs_all_weeks,best_return_lift_vs_raw,holdout_avg_return_best,expected_portfolio_use,risk_of_turnover,risk_of_hidden_beta,selected_for_candidate
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,84,0.0756756756756756,0.0100604140053941,0.0090571859617289,0.0260615784693874,small calm/neutral offense-family sleeve tilt,LOW_TO_MEDIUM,CONTROLLED_NO_DIRECT_SPY_ADD,improved_phaseooo6_efa_spy_selective_tilt
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,89,0.0801801801801801,0.0078800322214719,0.0068768041778067,0.0203318823793761,small calm/neutral offense-family sleeve tilt,LOW_TO_MEDIUM,CONTROLLED_NO_DIRECT_SPY_ADD,none
efa_spy_vol_filtered_top20_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,109,0.0981981981981982,0.0070448940853902,0.0060416660417251,0.0189568844668507,small calm/neutral offense-family sleeve tilt,LOW_TO_MEDIUM,CONTROLLED_NO_DIRECT_SPY_ADD,improved_phaseooo6_efa_spy_vol_filtered_tilt
market_trend_breadth_confirmed_event,market_trend_positive_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,344,0.3099099099099099,0.0028586805910727,0.0009446260205116,0.0238058769567622,small calm/neutral offense-family sleeve tilt,LOW_TO_MEDIUM,CONTROLLED_NO_DIRECT_SPY_ADD,improved_phaseooo6_efa_spy_trend_confirmed_tilt
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,107,0.0963963963963964,0.0014453026604156,0.0004420746167505,0.0201228092742273,small calm/neutral offense-family sleeve tilt,LOW_TO_MEDIUM,CONTROLLED_NO_DIRECT_SPY_ADD,improved_phaseooo6_efa_spy_trend_confirmed_tilt
