candidate,recent_3y_50bps_cagr,recent_cagr_improvement,post_2024_cagr_improvement,full_cagr_improvement,recent_3y_50bps_sharpe,recent_3y_50bps_max_drawdown,maximum_prefix_difference,recent_cagr_gate,post_2024_cagr_gate,full_cagr_gate,drawdown_guard,prefix_gate,determinism_gate,freeze_gate,qualified_for_research_shortlist
cash_redeploy_100,0.13005231599448752,0.001178792654881411,0.0032223583219954666,0.002912973773456118,1.4479853019646431,-0.07622283019975296,0.0,False,True,True,True,True,True,True,False
cash_redeploy_50,0.1296691121236846,0.0007955887840784825,0.001756978605678361,0.002249368898713744,1.504545462373826,-0.07493533690716225,0.0,False,True,True,True,True,True,True,False
combined_mild,0.12764270594317817,-0.0012308173964279412,0.0020355719131364136,0.0016103055814160605,1.4537907279550055,-0.07815587595799256,0.0,False,True,True,True,True,True,True,False
momentum_tilt_15,0.1269812484731765,-0.0018922748664296218,0.0003563428780317679,-0.0006642081762764374,1.4887679769210305,-0.0768632148899846,0.0,False,True,True,True,True,True,True,False
combined_assertive,0.12424416753271039,-0.004629355806895719,0.001784538563601279,0.0008765172405136301,1.3453433866956979,-0.08298767171460342,0.0,False,True,True,True,True,True,True,False
momentum_tilt_30,0.12384464697715347,-0.005028876362452639,-0.0008987734320224927,-0.001994716875159952,1.424233557480317,-0.08042222092649709,0.0,False,False,True,True,True,True,True,False
