candidate,cutoff,shocked_date,maximum_prefix_difference
momentum_tilt_15,2023-12-29,2024-01-05,0.0
momentum_tilt_30,2023-12-29,2024-01-05,0.0
cash_redeploy_50,2023-12-29,2024-01-05,0.0
cash_redeploy_100,2023-12-29,2024-01-05,0.0
combined_mild,2023-12-29,2024-01-05,0.0
combined_assertive,2023-12-29,2024-01-05,0.0
momentum_tilt_15,2024-12-27,2025-01-03,0.0
momentum_tilt_30,2024-12-27,2025-01-03,0.0
cash_redeploy_50,2024-12-27,2025-01-03,0.0
cash_redeploy_100,2024-12-27,2025-01-03,0.0
combined_mild,2024-12-27,2025-01-03,0.0
combined_assertive,2024-12-27,2025-01-03,0.0
momentum_tilt_15,2025-12-26,2026-01-02,0.0
momentum_tilt_30,2025-12-26,2026-01-02,0.0
cash_redeploy_50,2025-12-26,2026-01-02,0.0
cash_redeploy_100,2025-12-26,2026-01-02,0.0
combined_mild,2025-12-26,2026-01-02,0.0
combined_assertive,2025-12-26,2026-01-02,0.0
