target,model,subperiod,start,end,n_oos,brier,auc,log_loss,pos_rate,pred_mean,high_risk_decile_precision,high_risk_decile_recall,calibration_mae
target_ggg1_underperformance_4w,baseline_state_rate,0,2010-01-01,2014-01-24,213,0.2816833746113681,0.5223300970873787,0.7667813872844097,0.4835680751173709,0.3481836650005605,0.4482758620689655,0.1262135922330097,0.14157622105346898
target_ggg1_underperformance_4w,baseline_state_rate,1,2014-01-31,2018-02-16,212,0.2464491063025016,0.4894395553496989,0.6985282308130997,0.4009433962264151,0.38064258073204854,0.4358974358974359,0.2,0.14213600071248028
target_ggg1_underperformance_4w,baseline_state_rate,2,2018-02-23,2022-03-11,212,0.2380900465484372,0.595491202346041,0.6679518713831848,0.41509433962264153,0.37327666402402,0.38235294117647056,0.14772727272727273,0.16248225460086627
target_ggg1_underperformance_4w,baseline_state_rate,3,2022-03-18,2026-04-10,213,0.2284126294319888,0.529245101805609,0.6474926787683792,0.3568075117370892,0.3844778818466295,0.4,0.15789473684210525,0.06492973949090203
target_ggg1_underperformance_4w,logistic_simple,0,2010-01-01,2014-01-24,213,0.3466090784492095,0.5463371579876434,1.2083574072335943,0.4835680751173709,0.49737247667252016,0.5909090909090909,0.1262135922330097,0.2696748154129593
target_ggg1_underperformance_4w,logistic_simple,1,2014-01-31,2018-02-16,212,0.26013972726121637,0.6715145900880037,0.9215915998155269,0.4009433962264151,0.30905841732505185,0.6363636363636364,0.16470588235294117,0.17719435404283648
target_ggg1_underperformance_4w,logistic_simple,2,2018-02-23,2022-03-11,212,0.39731716922933696,0.4865285923753666,1.8633268316487703,0.41509433962264153,0.48268644888662593,0.045454545454545456,0.011363636363636364,0.3329968174227399
target_ggg1_underperformance_4w,logistic_simple,3,2022-03-18,2026-04-10,213,0.363202287328958,0.5217057241644256,1.3011329802094627,0.3568075117370892,0.48786691806889754,0.5,0.14473684210526316,0.30936899384282956
target_ggg1_underperformance_4w,logistic_l2_balanced,0,2010-01-01,2014-01-24,213,0.3229906716387406,0.5592233009708737,0.9959282660069058,0.4835680751173709,0.5380142886179471,0.6818181818181818,0.14563106796116504,0.23637288644252985
target_ggg1_underperformance_4w,logistic_l2_balanced,1,2014-01-31,2018-02-16,212,0.2426389050071909,0.6904122278832793,0.737209232778306,0.4009433962264151,0.4175067316963421,0.6818181818181818,0.17647058823529413,0.14850517944118297
target_ggg1_underperformance_4w,logistic_l2_balanced,2,2018-02-23,2022-03-11,212,0.37532656232977923,0.4918438416422287,1.477389140819162,0.41509433962264153,0.5468576692085344,0.13636363636363635,0.03409090909090909,0.30187415001080253
