feature,group,source,lag_rule,missing_rate_before_fill,used_in_model
regime_risk_regime_score,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.023423423423423424,True
regime_market_drawdown,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
regime_market_trend_positive,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
regime_breadth_sma_43,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
regime_breadth_26w_mom,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
regime_breadth_13w_mom,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
regime_breadth_change_4w,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0036036036036036037,True
regime_canary_breadth_default,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
regime_canary_breadth_pair,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
regime_recent_stress_26w,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
regime_avg_corr_risk_off_z,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.03513513513513514,True
regime_google_fear_z_tradable,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.06756756756756757,True
regime_transition_persistence_prob,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.04504504504504504,True
regime_transition_good_state_prob,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.04504504504504504,True
regime_transition_non_stress_prob,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.04504504504504504,True
phase2b_p_regime_confidence,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.18018018018018017,True
phase2b_p_transition_quality,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.18018018018018017,True
phase2b_p_tail_risk,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.18018018018018017,True
state_calm_trend,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
state_neutral_mixed,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
state_recovery_confirmed,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
state_recovery_fragile,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
state_stressed_panic,regime,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
ggg1_BIL_weight,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
ggg1_SPY_weight,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
ggg1_turnover,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
ggg1_offense_sleeve_weight,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
ggg1_defense_sleeve_weight,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
ggg1_cash_sleeve_weight,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
sleeve_weight_dual_momentum_topn,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
sleeve_weight_cta_trend_long_only,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
sleeve_weight_composite_selective_signals,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
sleeve_weight_composite_regime_offense_component,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
sleeve_weight_composite_regime_defense_component,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
sleeve_weight_taa_10m_sma,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
sleeve_weight_cash::BIL,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0,True
ggg1_ret_4w,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
ggg1_vol_4w,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
ggg1_sharpe_proxy_4w,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.06936936936936937,True
ggg1_ret_13w,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
ggg1_vol_13w,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
ggg1_sharpe_proxy_13w,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.06936936936936937,True
ggg1_ret_26w,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.010810810810810811,True
ggg1_vol_26w,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.010810810810810811,True
ggg1_sharpe_proxy_26w,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.06936936936936937,True
ggg1_drawdown_26w,portfolio_state,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.010810810810810811,True
sleeve_dual_momentum_topn_ret_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_dual_momentum_topn_vol_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_dual_momentum_topn_sharpe_proxy_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.04954954954954955,True
sleeve_dual_momentum_topn_ret_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_dual_momentum_topn_vol_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_dual_momentum_topn_sharpe_proxy_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.04954954954954955,True
sleeve_cta_trend_long_only_ret_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_cta_trend_long_only_vol_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_cta_trend_long_only_sharpe_proxy_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.07027027027027027,True
sleeve_cta_trend_long_only_ret_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
