target,model,feature,importance,abs_importance
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_LQD_sharpe_proxy_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_LQD_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_LQD_vol_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_LQD_vol_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_LQD_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_QQQ_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_QQQ_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_QQQ_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_QQQ_sharpe_proxy_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_QQQ_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_QQQ_vol_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_QQQ_vol_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_QQQ_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_SPY_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_SPY_ret_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_SPY_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_SPY_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_SPY_sharpe_proxy_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_SPY_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_SPY_vol_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_SPY_vol_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_SPY_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_TLT_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_TLT_ret_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_TLT_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_TLT_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_TLT_sharpe_proxy_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_TLT_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_TLT_vol_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_TLT_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_UUP_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_UUP_ret_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_UUP_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_UUP_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_UUP_sharpe_proxy_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_UUP_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_UUP_vol_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,asset_UUP_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_BIL_weight,0.0,0.0
