candidate,decision,delta_ann_return_vs_ggg1,delta_sharpe_vs_ggg1,delta_max_drawdown_vs_ggg1,delta_cvar_5_vs_ggg1,turnover_ratio_vs_production,turnover_under_cap,hidden_beta_not_higher,guard_states_preserved,guard_notes
improved_phasennn_ml_risk_dial_overlay,REJECT,-7.762793703403048e-06,0.00012759831687558787,9.71445146547012e-17,5.26588283765797e-06,1.099441592541261,True,True,True,
improved_phasennn_ml_opportunity_dial_overlay,REJECT,-4.645721644491729e-06,-7.528408950008281e-05,9.71445146547012e-17,-1.319080810621709e-06,1.0997995031046992,True,True,True,
