candidate,state,n_weeks,ann_return,ann_vol,sharpe,cvar_5
improved_phasennn_ml_risk_dial_overlay,calm_trend,295,0.04090505889397211,0.07938483473525218,0.5450320790583515,-0.02702258202413847
improved_phasennn_ml_risk_dial_overlay,neutral_mixed,493,0.11208456369636521,0.07660265567695444,1.426595820793816,-0.024705724713349867
improved_phasennn_ml_risk_dial_overlay,recovery_confirmed,44,0.025713181473848268,0.07380900355420111,0.3810294949945211,-0.02209412970577593
improved_phasennn_ml_risk_dial_overlay,recovery_fragile,49,0.06679604609124778,0.05773007194894484,1.1496627538475586,-0.017094762594288732
improved_phasennn_ml_risk_dial_overlay,stressed_panic,229,0.03572442564519873,0.0743095407843786,0.5098126303969001,-0.023120078010489514
improved_phasennn_ml_opportunity_dial_overlay,calm_trend,295,0.04085050247315314,0.0793988023911487,0.5442897039264654,-0.027025855045352775
improved_phasennn_ml_opportunity_dial_overlay,neutral_mixed,493,0.11210124903380536,0.07663314051408432,1.4262549087538148,-0.024708640055744975
improved_phasennn_ml_opportunity_dial_overlay,recovery_confirmed,44,0.025704850129831147,0.07381115609540322,0.3809104897940407,-0.022095728170424805
improved_phasennn_ml_opportunity_dial_overlay,recovery_fragile,49,0.06667130511730979,0.05777566212033651,1.1467751659117733,-0.017134665795987398
improved_phasennn_ml_opportunity_dial_overlay,stressed_panic,229,0.03580304467282547,0.07431974594545612,0.5107748136103761,-0.023120023498786932
improved_phaseggg_confirmed_only_robust_offense,calm_trend,295,0.04085050192523543,0.07939880250537479,0.5442896966211396,-0.027025855044929395
improved_phaseggg_confirmed_only_robust_offense,neutral_mixed,493,0.11211233905761886,0.07662944510795495,1.426450337679167,-0.02470568782041674
improved_phaseggg_confirmed_only_robust_offense,recovery_confirmed,44,0.02570451511736649,0.07381108188621104,0.3809063710724836,-0.022095707267119336
improved_phaseggg_confirmed_only_robust_offense,recovery_fragile,49,0.0666705276141002,0.057775569351790124,1.146764283029888,-0.017134665795987398
improved_phaseggg_confirmed_only_robust_offense,stressed_panic,229,0.035802805834722395,0.07431976239783664,0.5107716122793788,-0.023120023505570523
improved_phase2b_regime_confidence_boost,calm_trend,295,0.03558351868547227,0.09244211148547087,0.4248205738235613,-0.031200121149341665
improved_phase2b_regime_confidence_boost,neutral_mixed,493,0.11043252730450281,0.0754486448521911,1.427503038860072,-0.023941949335295348
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,0.026147257209693242,0.06719520288870488,0.41785488392283765,-0.020330486395663264
improved_phase2b_regime_confidence_boost,recovery_fragile,49,0.06973508185847388,0.05241322332754312,1.3132199192284035,-0.014782139062603802
improved_phase2b_regime_confidence_boost,stressed_panic,229,0.03369319983341135,0.06768216294968664,0.5237400843528159,-0.020652243634167195
improved_phase2b_combo_abc,calm_trend,295,0.035658624830249064,0.0923565346282578,0.4259144716685564,-0.031253937256500025
improved_phase2b_combo_abc,neutral_mixed,493,0.10953598886437232,0.07521046862841066,1.4210280290874222,-0.02388715449312065
improved_phase2b_combo_abc,recovery_confirmed,44,0.025594242377825482,0.06751982740519812,0.40818488135160086,-0.020535640069080697
improved_phase2b_combo_abc,recovery_fragile,49,0.06769593570471377,0.0521576967487229,1.2827742936975262,-0.014916658225441968
improved_phase2b_combo_abc,stressed_panic,229,0.03433145625197587,0.06664937408191964,0.5400597811738235,-0.020307572027016628
