cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,legacy_symbols,legacy_status,instance_document,instance_sha256
0000006769,APACHE CORP,energy,0001784031-22-000029,2022-11-04 00:00:00+00:00,,no_explicit_symbol_tag,apa-20220930.htm,d84ddce5b7859afe9ecb8eece74a86beb4a7ffbe3bc362c5a3684d3376da3486,,instance_has_no_explicit_symbol,,
0000029834,DOUBLE EAGLE PETROLEUM CO,energy,0001193125-12-458768,2012-11-09 00:00:00+00:00,,no_explicit_symbol_tag,d398861d10q.htm,3fef0ba3268a2a98bbc18d2d8e166eb75e1c7cb10310b561ce4a1f99b9433093,,instance_has_no_explicit_symbol,,
0000038079,SABINE OIL & GAS CORP,energy,0001558370-15-002518,2015-11-10 00:00:00+00:00,,no_explicit_symbol_tag,sogc-20150930x10q.htm,fdcbac47bd528781904ae0fd68ef715d1105d3ed36bb05ab2f0e234b42702bc7,,instance_has_no_explicit_symbol,,
0000041023,GEORESOURCES INC,energy,0001193125-12-346488,2012-08-10 00:00:00+00:00,,no_explicit_symbol_tag,d351628d10q.htm,69247f8625fa3f553892a462d5913da6807bdc55f864174dba947c404586fb6a,,instance_has_no_explicit_symbol,,
0000050104,ANDEAVOR,energy,0000050104-18-000181,2018-08-08 00:00:00+00:00,,no_explicit_symbol_tag,andv2q201810-q.htm,09dd0297740776049a9899a2b39a3f2fd2047fa3369f1425e1977ce8f3a7bada,,instance_has_no_explicit_symbol,,
0000064279,MCMORAN EXPLORATION CO /DE/,energy,0000064279-13-000016,2013-05-07 00:00:00+00:00,,no_explicit_symbol_tag,mmr1q13_10q.htm,7b58e40fcd7e2df485414b9323d79713b9871e155cd02192ecdbaecdbaa05eea,,instance_has_no_explicit_symbol,,
0000076321,PARKER DRILLING CO /DE/,energy,0000076321-20-000014,2020-03-05 00:00:00+00:00,,no_explicit_symbol_tag,q4-12312019x10k.htm,022feeb7a2971918bb36f93f8437169cf60ec8c8104021778b3effc3f6c5710a,,instance_has_no_explicit_symbol,,
0000085408,ROWAN COMPANIES PLC,energy,0000085408-19-000010,2019-02-28 00:00:00+00:00,,no_explicit_symbol_tag,rdc-12312018x10k.htm,2bcd706797b6bd1a2c42070c07ddb89cd771100604a30868e431ac7495bb91eb,,instance_has_no_explicit_symbol,,
0000106455,WESTMORELAND COAL CO,energy,0000106455-18-000080,2018-11-02 00:00:00+00:00,,no_explicit_symbol_tag,q32018wlb.htm,d7002eaea9593e560ffd01dbe9284ad0b0b71fa4877dd0f25fc386249996528f,,instance_has_no_explicit_symbol,,
0000277595,ENERGEN CORP,energy,0000277595-18-000084,2018-11-09 00:00:00+00:00,,no_explicit_symbol_tag,egn9301810q.htm,da09231ae9951d822ea345e34c5240a519cce138e086f2b1f49d6addbab68751,,instance_has_no_explicit_symbol,,
0000277924,CREDO PETROLEUM CORP,energy,0001104659-12-062616,2012-09-11 00:00:00+00:00,,no_explicit_symbol_tag,a12-18519_110q.htm,50b496d71625f5510e81d1e9712a32e4615e2e56f8f772bae4f693112613b36e,,instance_has_no_explicit_symbol,,
0000311471,APCO OIL & GAS INTERNATIONAL INC,energy,0000311471-14-000013,2014-11-05 00:00:00+00:00,,no_explicit_symbol_tag,apco10q32014.htm,7a28a81b6a53c41849ab1a63fdedbfb7c8652c54e9425a006569a13034288c8a,,instance_has_no_explicit_symbol,,
0000314606,GEOKINETICS INC,energy,0001104659-12-075977,2012-11-09 00:00:00+00:00,,no_explicit_symbol_tag,a12-20058_110q.htm,cd0c1caeb3428c89471a7152b70c7ca1531ee52980e8e6f2f356efec6088cdb1,,instance_has_no_explicit_symbol,,
0000316300,EXCO RESOURCES INC,energy,0000316300-17-000038,2017-11-08 00:00:00+00:00,,no_explicit_symbol_tag,q32017-xco10q.htm,fc7cd329269f55f97683cd479fb24bcc7ea54b0f9d7affb9e940c6a5a6764eaf,,instance_has_no_explicit_symbol,,
0000318996,KEY ENERGY SERVICES INC,energy,0000318996-19-000025,2019-11-09 00:00:00+00:00,,no_explicit_symbol_tag,keg10-q9302019.htm,78dfa20a676e69dc1d84cbb7d0ebe9a7b1d2fece3c709a82b8e19c10209326a6,,instance_has_no_explicit_symbol,,
0000320575,PIONEER ENERGY SERVICES CORP,energy,0000320575-19-000053,2019-11-01 00:00:00+00:00,,no_explicit_symbol_tag,form10q-q32019.htm,08aba5abf179be97790832abdfb0c886031d80ea7935e1819706821e89b8c194,,instance_has_no_explicit_symbol,,
0000709804,STEEL EXCEL INC.,energy,0000709804-16-000032,2016-03-12 00:00:00+00:00,,no_explicit_symbol_tag,sxcl1231201510-k.htm,be255866e2dd3d9bcc35754e7c29c9a7edf929773830e3c2a55334960aca972b,,instance_has_no_explicit_symbol,,
0000719209,ISRAMCO INC,energy,0001185185-19-001102,2019-08-10 00:00:00+00:00,,no_explicit_symbol_tag,isramco20190630_10q.htm,ec583eee09c2875027407759afde571029eb1adfc2e4a72ad1c3ce1ebb54f95f,,instance_has_no_explicit_symbol,,
