cost_bps,window_years,end_date,weeks,annual_return,annual_volatility,arithmetic_sharpe_zero_rf,maximum_drawdown,annualized_one_way_turnover
10.0,1,2026-04-10,53,0.2224367442920696,0.0862352174690437,2.375889759253109,-0.07285258948618933,4.563011864987841
10.0,2,2026-04-10,105,0.17175055868830658,0.08229196573280974,1.9697493520094493,-0.07285258948618933,4.198534278953927
10.0,3,2026-04-10,157,0.14522132799232002,0.0794788205139283,1.7477802938957587,-0.07285258948618933,3.955986668042957
10.0,5,2026-04-10,261,0.1024241705483464,0.07388900491378639,1.3576743631312322,-0.07285258948618945,3.679365560683017
50.0,1,2026-04-10,53,0.2004089146971748,0.08619930865438516,2.1651371168186264,-0.07411422464517659,4.563011864987841
50.0,2,2026-04-10,105,0.1522559082018371,0.08266041062266044,1.757799265300741,-0.07411422464517659,4.198534278953927
50.0,3,2026-04-10,157,0.12727332124842183,0.07960380834630348,1.5462522731158475,-0.07411422464517659,3.955986668042957
50.0,5,2026-04-10,261,0.0863497236167361,0.0738253350690195,1.1594901041216534,-0.07411422464517659,3.679365560683017
100.0,1,2026-04-10,53,0.17339888083138222,0.08637918766479988,1.8965015499159672,-0.07569002052351359,4.563011864987841
100.0,2,2026-04-10,105,0.12831613258790897,0.08331552577798164,1.492011680973537,-0.07569002052351348,4.198534278953927
100.0,3,2026-04-10,157,0.10520900826067581,0.07995259809802926,1.2921110598216023,-0.07569002052351359,3.955986668042957
100.0,5,2026-04-10,261,0.06656379261078849,0.07394799480729967,0.9087862060046614,-0.07697893647607446,3.679365560683017
