role,v1_relative_path,bytes,sha256
saved_candidate_returns,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_frontier_phase5_fragility_guard.csv,140202,38075f2064ed4e558ee7f2ba7d21eee1bdaf0c296b98c28ba5a9cb107f639ce2
saved_candidate_weights,data/05_layer3_portfolio_construction/portfolio_version_weights_improved_frontier_phase5_fragility_guard.csv,334077,cfcabd30fe6bf6f8281162dc4228973d4f965a897532d2069be091a6470c1e75
base_candidate_weights,data/05_layer3_portfolio_construction/portfolio_version_weights_improved_phaseggg_confirmed_only_robust_offense.csv,337241,c500d47af62dc1e265166c58cc1ad2d292bbc00a0304fefde8c9e6c56349b04a
base_candidate_returns,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_phaseggg_confirmed_only_robust_offense.csv,140273,2514fcff4665630389fac9b5ba2c3afc4db5ad66b2a26e7baae5fdded194ccb1
weekly_prices,data/01_data_hub/weekly_prices.csv,695896,22f5f570950e6b18fa77e1c058d5882c562bfac6413dc558a6bdb95372584bf3
market_states,data/04_layer2b_risk_regime_engine/market_state_history.csv,327903,a7f49dd552890d65fc173ae5b32948a313bd6cfc73a45c1f9cc40cb52da80e4c
phase1_state_quality,data/research/frontier_phase1/state_quality_signals_r2.csv,183864,06ed9240258cf4c46985487835163913e7d8f9f3119cf17733b5cea3f08b9b82
phase4_leadership,data/research/frontier_phase4/leadership_signals.csv,121217,c3fb4a91a0b5d560af4225ca1b0d1a6b3f111f59e64645c781f1cab5d10d7955
candidate_registry,data/05_layer3_portfolio_construction/production_candidate_registry.json,4778,20ba207e63f89a0fb043c8c08a7339a7dc3612cbb5ca6c3d630dadc424a3ad02
internal_reproduction_report,data/research/track_a_production_hardening/production_reproduction_report.json,6032,3a7f2f07c88d84019ca26672c9e772c1afd8702dea3144f95936ca6c56468749
production_allocator,scripts/production_allocator.py,4474,aa45d624e8f6a75e1d3afd6a46607c3a9639ee73bcdb69b582cfddeeaa8d9fb8
allocator_wrapper,scripts/allocator_checkpoint_wrapper.py,10797,b61b47ab56e97893b7a412441c96d9ac7a60b3dcd4e3e10217ae0cb7b6f41a2b
research_utilities,scripts/path1_path3_research_utils.py,14822,73a4efccbc0b1cdcc68c6e85abec442acd232b329dce1ab136b9b6cc84b67241
production_config,scripts/production_config.py,3829,6cd6bb8818be82873a935701d16724c623621f555c9b2e2b3c3cdf9746afbfd2
production_costs,scripts/production_costs.py,4400,43dc234b47361cdd251d82225035747bf2e090e52fcd3dc973f95bba2d9eb3df
production_metrics,scripts/production_metrics.py,11081,59c7f01fa995691c032b3e94b72c0837021c41b19b87efcd7b4fc0e5d37a649a
reproduction_runner,scripts/reproduce_production_candidate.py,11855,240a12288fadcb65acf052edb4609e73f478c1199f766878f28aac482dd41d2e
