cash_defense_bucket,mix_name,n_weeks,avg_approx_forward_4w_return,avg_approx_forward_13w_return,prob_stressed_panic_within_next_4w,prob_prod_drawdown_worsen_next_4w,avg_replacement_fraction_of_25_bil,keep_forward_4w,keep_forward_13w,approx_forward_4w_delta_vs_keep,approx_forward_13w_delta_vs_keep
high_defense,PP_best_fallback,119,0.005920509927611663,0.016422534901877246,0.025210084033613446,0.7142857142857143,0.5,0.00619984113076146,0.014601041903831323,-0.0002793312031497972,0.001821492998045923
high_defense,active_sleeve_redeploy,119,0.0069760947779238984,0.01628236788353393,0.025210084033613446,0.7142857142857143,0.44999999999999996,0.00619984113076146,0.014601041903831323,0.0007762536471624384,0.0016813259797026064
high_defense,balanced_defensive,119,0.006097720977923831,0.015908967649217974,0.025210084033613446,0.7142857142857143,0.4,0.00619984113076146,0.014601041903831323,-0.00010212015283762865,0.0013079257453866514
high_defense,keep_BIL,119,0.00619984113076146,0.014601041903831323,0.025210084033613446,0.7142857142857143,0.0,0.00619984113076146,0.014601041903831323,0.0,0.0
high_defense,partial_bond_gold,119,0.006059987662910379,0.015510881490210834,0.025210084033613446,0.7142857142857143,0.25,0.00619984113076146,0.014601041903831323,-0.00013985346785108134,0.0009098395863795117
low_defense,PP_best_fallback,119,0.0019703511635321288,0.011276518966702322,0.04201680672268908,0.680672268907563,0.5,0.0009791997141381026,0.009546676067986832,0.0009911514493940261,0.0017298428987154897
low_defense,active_sleeve_redeploy,119,0.0009590422463884895,0.01034891583557802,0.04201680672268908,0.680672268907563,0.44999999999999996,0.0009791997141381026,0.009546676067986832,-2.015746774961316e-05,0.0008022397675911883
low_defense,balanced_defensive,119,0.0015297176005528096,0.010534937474660762,0.04201680672268908,0.680672268907563,0.4,0.0009791997141381026,0.009546676067986832,0.000550517886414707,0.0009882614066739296
low_defense,keep_BIL,119,0.0009791997141381026,0.009546676067986832,0.04201680672268908,0.680672268907563,0.0,0.0009791997141381026,0.009546676067986832,0.0,0.0
low_defense,partial_bond_gold,119,0.001474778246267883,0.010410854516683903,0.04201680672268908,0.680672268907563,0.25,0.0009791997141381026,0.009546676067986832,0.0004955785321297803,0.000864178448697071
medium_defense,PP_best_fallback,139,0.006116242268201558,0.02212477763068271,0.07913669064748201,0.6402877697841727,0.5,0.006017687005731671,0.020201342397286378,9.855526246988714e-05,0.0019234352333963312
medium_defense,active_sleeve_redeploy,139,0.006747426320680288,0.022681571681944197,0.07913669064748201,0.6402877697841727,0.44999999999999996,0.006017687005731671,0.020201342397286378,0.0007297393149486167,0.0024802292846578186
medium_defense,balanced_defensive,139,0.006106238374914212,0.021580355152020225,0.07913669064748201,0.6402877697841727,0.4,0.006017687005731671,0.020201342397286378,8.855136918254052e-05,0.0013790127547338472
medium_defense,keep_BIL,139,0.006017687005731671,0.020201342397286378,0.07913669064748201,0.6402877697841727,0.0,0.006017687005731671,0.020201342397286378,0.0,0.0
medium_defense,partial_bond_gold,139,0.006066714080539751,0.021161161953660208,0.07913669064748201,0.6402877697841727,0.25,0.006017687005731671,0.020201342397286378,4.902707480807997e-05,0.0009598195563738296
