cash_defense_bucket,mix_name,n_weeks,avg_approx_forward_4w_return,avg_approx_forward_13w_return,prob_stressed_panic_within_next_4w,prob_prod_drawdown_worsen_next_4w,avg_replacement_fraction_of_25_bil
high_defense,PP_best_fallback,119,0.005920509927611663,0.016422534901877246,0.025210084033613446,0.7142857142857143,0.5
high_defense,active_sleeve_redeploy,119,0.0069760947779238984,0.01628236788353393,0.025210084033613446,0.7142857142857143,0.44999999999999996
high_defense,balanced_defensive,119,0.006097720977923831,0.015908967649217974,0.025210084033613446,0.7142857142857143,0.4
high_defense,keep_BIL,119,0.00619984113076146,0.014601041903831323,0.025210084033613446,0.7142857142857143,0.0
high_defense,partial_bond_gold,119,0.006059987662910379,0.015510881490210834,0.025210084033613446,0.7142857142857143,0.25
low_defense,PP_best_fallback,119,0.0019703511635321288,0.011276518966702322,0.04201680672268908,0.680672268907563,0.5
low_defense,active_sleeve_redeploy,119,0.0009590422463884895,0.01034891583557802,0.04201680672268908,0.680672268907563,0.44999999999999996
low_defense,balanced_defensive,119,0.0015297176005528096,0.010534937474660762,0.04201680672268908,0.680672268907563,0.4
low_defense,keep_BIL,119,0.0009791997141381026,0.009546676067986832,0.04201680672268908,0.680672268907563,0.0
low_defense,partial_bond_gold,119,0.001474778246267883,0.010410854516683903,0.04201680672268908,0.680672268907563,0.25
medium_defense,PP_best_fallback,139,0.006116242268201558,0.02212477763068271,0.07913669064748201,0.6402877697841727,0.5
medium_defense,active_sleeve_redeploy,139,0.006747426320680288,0.022681571681944197,0.07913669064748201,0.6402877697841727,0.44999999999999996
medium_defense,balanced_defensive,139,0.006106238374914212,0.021580355152020225,0.07913669064748201,0.6402877697841727,0.4
medium_defense,keep_BIL,139,0.006017687005731671,0.020201342397286378,0.07913669064748201,0.6402877697841727,0.0
medium_defense,partial_bond_gold,139,0.006066714080539751,0.021161161953660208,0.07913669064748201,0.6402877697841727,0.25
