state,reason_category,n_weeks,state_total,share_of_state_favorable_25_bil_weeks
calm_trend,unknown,75,126,0.5952380952380952
calm_trend,residual_normalization_cash,18,126,0.14285714285714285
calm_trend,volatility_high,13,126,0.10317460317460317
calm_trend,signal_failed,12,126,0.09523809523809523
calm_trend,breadth_or_trend_weak,8,126,0.06349206349206349
neutral_healthy_proxy,volatility_high,73,187,0.39037433155080214
neutral_healthy_proxy,unknown,33,187,0.17647058823529413
neutral_healthy_proxy,breadth_or_trend_weak,30,187,0.16042780748663102
neutral_healthy_proxy,regime_uncertain,24,187,0.12834224598930483
neutral_healthy_proxy,signal_failed,17,187,0.09090909090909091
neutral_healthy_proxy,defensive_fallback,10,187,0.053475935828877004
recovery_confirmed,volatility_high,30,30,1.0
recovery_fragile,volatility_high,31,34,0.9117647058823529
recovery_fragile,defensive_fallback,3,34,0.08823529411764706
